Category,Feature,Status,Comments,Reference
"API","eles.json","Partial","Export the first element. The v3 setter/import form is excluded.","src/collection.mts:919"
"API","eles.jsons","Implemented","Plain-object form of every element.","src/collection.mts:957"
"API","eles.kargerStein","Implemented","Karger–Stein randomized minimum cut. Randomized, so repeated runs may differ.","src/collection.mts:5657"
"API","eles.katzCentrality","Implemented","Katz centrality — attenuated walk counting, where a node is central when many short walks end at it and a walk of length k is worth alphaᵏ. Async (round 69): returns a promise, and executor ('cpu' | 'gpu' | 'auto', default 'auto'; 'workers' rejects — no workers path) picks where the iteration runs; like pageRank, 'auto' always uses the sparse CPU iteration and the GPU path serves an explicit 'gpu'. v4-only — v3 has no counterpart.","src/collection.mts:5775"
"API","eles.kMeans","Implemented","k-means clustering in attribute space. Like v3's clustering algorithms this works on handles and attributes accessors rather than on graph structure.","src/collection.mts:5983"
"API","eles.kMedoids","Implemented","k-medoids clustering — like k-means, but cluster centres are actual elements, which makes it robust to outliers. Async, with the same executor contract as kMeans.","src/collection.mts:5997"
"API","eles.kruskal","Implemented","Kruskal's minimum spanning tree/forest.","src/collection.mts:5610"
"API","eles.label","Implemented","The node's resolved label text ('' when none); read-only in the prototype.","src/collection.mts:2790"
"API","eles.labelBoundingBox","Implemented","The exact laid label boxes of this collection's elements, unioned (round 16.4 — the v4 form of v3's text-metrics surface): node labels at their anchors, edge mid-labels at the drawn midpoint, end labels conservatively about their endpoint. Empty (zero) when nothing is labelled. Headless dims are estimates (recorded).","src/collection.mts:3096"
"API","eles.last","Implemented","The last element, as a length-1 collection.","src/collection.mts:810"
"API","eles.layout","Implemented","A layout scoped to this collection.","src/collection.mts:5518"
"API","eles.layoutDimensions","Implemented","Node dimensions for layout spacing, as v3's layoutDimensions — the body, plus the label box under nodeDimensionsIncludeLabels: true (114.1 made labels the default; 115 restored v3's body-only default).","src/collection.mts:5298"
"API","eles.layoutPositions","Implemented","Apply a layout's position function to this collection's nodes with the standard layout options (spacingFactor, transform, fit/zoom/pan, animate) and the layoutstart/layoutready/layoutstop event flow — v3's helper. With animate: true the viewport animates concurrently (a fit targets the bounding box at the final positions, as v3 does).","src/collection.mts:5333"
"API","eles.leaves","Implemented","Collection nodes with no non-loop outgoing edge.","src/collection.mts:4774"
"API","eles.length","Implemented","How many elements this collection holds.","src/collection.mts:235"
"API","eles.listen","Replaced","Use eles.on(); legacy listener aliases were removed.","MIGRATING.md"
"API","eles.lock","Implemented","Lock these elements against movement.","src/collection.mts:3776"
"API","eles.locked","Implemented","Whether the first element is locked — immovable, by layouts, position writes and position tweens alike (one rule since round 114.3: every layout holds a locked node where it is and keeps it in the layout's structure; force treats it as an obstacle its settle separates the others from). A locked child stays where it is when its compound parent is positioned, shifted or dragged — its own subtree with it — and the parent re-derives about the stayers and the movers (116.3, v3's rule). True for every node while cy.autolock( true ) is set, as in v3; the flag column alone is what { locked: true } filters read.","src/collection.mts:3767"
"API","eles.makeLayout","Implemented","Alias of eles.layout. A layout scoped to this collection.","src/collection.mts:5518"
"API","eles.map","Implemented","Map each element through fn into a plain array.","src/collection.mts:821"
"API","eles.markovClustering","Implemented","Markov clustering (MCL) — flow simulation over the graph, so unlike the attribute-space algorithms this one clusters by structure.","src/collection.mts:6051"
"API","eles.max","Implemented","The element maximizing valFn, with its value.","src/collection.mts:1489"
"API","eles.maxDegree","Implemented","The largest total degree among the collection's nodes.","src/collection.mts:6147"
"API","eles.maxIndegree","Implemented","The largest in-degree among the collection's nodes.","src/collection.mts:6167"
"API","eles.maxOutdegree","Implemented","The largest out-degree among the collection's nodes.","src/collection.mts:6189"
"API","eles.mcl","Implemented","Alias of eles.markovClustering. Markov clustering (MCL) — flow simulation over the graph, so unlike the attribute-space algorithms this one clusters by structure.","src/collection.mts:6051"
"API","eles.merge","Implemented","Alias of eles.union. The union of the two collections, deduped.","src/collection.mts:1191"
"API","eles.midpoint","Implemented","Midpoint of the edge: the curve/route midpoint for curved edges (v3's rs.mid rules per family), the endpoint-center average for straight ones.","src/collection.mts:3269"
"API","eles.min","Implemented","The element minimizing valFn, with its value.","src/collection.mts:1504"
"API","eles.minDegree","Implemented","The smallest total degree among the collection's nodes.","src/collection.mts:6137"
"API","eles.minIndegree","Implemented","The smallest in-degree among the collection's nodes.","src/collection.mts:6157"
"API","eles.minOutdegree","Implemented","The smallest out-degree among the collection's nodes.","src/collection.mts:6178"
"API","eles.modelPosition","Implemented","Alias of eles.position. Get or set the first element's model-space position (nodes only).","src/collection.mts:1552"
"API","eles.modelPositions","Implemented","Alias of eles.positions. Set every node's position, from a constant or per-element function.","src/collection.mts:1622"
"API","eles.motifCensus","Implemented","The triad census — every three-node subgraph classified into the sixteen Holland–Leinhardt classes ('003' … '300'; '030T' is the feed-forward loop). The counts sum to C(n, 3). Async (round 70): executor ('cpu' | 'gpu' | 'auto', default 'auto'; 'workers' rejects — no workers path) picks between sparse wedge walks on the CPU and matmul trace products on the GPU — under 'auto' the GPU only on dense graphs (a mean degree of 64, round 72.6). directed: false reads every edge as mutual, so only 003 / 102 / 201 / 300 (empty / one-edge / path / triangle) can be non-zero. v4-only — v3 has no counterpart.","src/collection.mts:5963"
"API","eles.move","Implemented","Move elements in place, keeping slot, id and data: { parent } re-parents nodes (null orphans them; the compound move, round 14.2 — emits moveout before and move after per changed node), while { source, target } re-points edges. As in v3 the modes are exclusive — a parent key takes precedence. An unknown parent id is a silent no-op (v3); a cyclic assignment warns and drops (the hierarchy rule).","src/collection.mts:4028"
"API","eles.neighborhood","Implemented","The open neighbourhood: the incident edges and the nodes on their far ends, ignoring edge direction, excluding the collection's own elements.","src/collection.mts:4359"
"API","eles.neighborhoodSimilarity","Implemented","Neighborhood similarity — pairwise Jaccard, cosine or overlap coefficients over neighbor sets (deduped; loops excluded; directed: true compares out-neighborhoods). The result is all-pairs, so it holds O(n²) counts like floydWarshall. Async (round 69): returns a promise, and executor ('cpu' | 'gpu' | 'auto', default 'auto'; 'workers' rejects — no workers path) picks where the shared-neighbor counts are computed — under 'auto' the GPU's A·Aᵀ matmul is used only on graphs dense enough to beat the CPU's wedge walk. v4-only — v3 has no counterpart.","src/collection.mts:5817"
"API","eles.nodes","Implemented","The nodes in this collection, optionally filtered.","src/collection.mts:1370"
"API","eles.nonempty","Implemented","Whether the collection holds at least one element.","src/collection.mts:654"
"API","eles.nonorphans","Implemented","The collection's nodes that have a parent.","src/collection.mts:4614"
"API","eles.not","Implemented","Alias of eles.difference. This collection's elements that are not in other.","src/collection.mts:1208"
"API","eles.numericStyle","Implemented","The numeric value of a numeric style prop.","src/collection.mts:2702"
"API","eles.numericStyleUnits","Replaced","Use eles.style() for the resolved value; geometry accessors return model pixels. The v3 spelling is not public in v4.","MIGRATING.md"
"API","eles.off","Implemented","Stop listening on each element of this collection.","src/collection.mts:6330"
"API","eles.on","Implemented","Listen for events on each element of this collection. The handler is bound per element, and keeps firing across slot compaction — listeners repair with their elements rather than going stale.","src/collection.mts:6295"
"API","eles.once","Implemented","Alias of eles.one. Like on(), but each element's handler runs at most once.","src/collection.mts:6312"
"API","eles.one","Implemented","Like on(), but each element's handler runs at most once.","src/collection.mts:6312"
"API","eles.openNeighborhood","Implemented","Alias of eles.neighborhood. The open neighbourhood: the incident edges and the nodes on their far ends, ignoring edge direction, excluding the collection's own elements.","src/collection.mts:4359"
"API","eles.or","Implemented","Alias of eles.union. The union of the two collections, deduped.","src/collection.mts:1191"
"API","eles.orphans","Implemented","The collection's nodes without a parent.","src/collection.mts:4604"
"API","eles.outdegree","Implemented","The first element's out-degree, in O(1). Singular, like degree().","src/collection.mts:6109"
"API","eles.outerHeight","Implemented","The full drawn height including the border.","src/collection.mts:2894"
"API","eles.outerWidth","Implemented","The full drawn width including the border — padded width plus the border width. This is the box bounds and endpoint clipping use.","src/collection.mts:2883"
"API","eles.outgoers","Implemented","The immediate outgoing neighbourhood: the edges leaving these nodes plus the nodes they point at. One hop only — use successors() for the transitive closure.","src/collection.mts:4290"
"API","eles.paddedHeight","Implemented","The drawn box height: content height plus twice the padding (v3's paddedHeight). Identical to height() for leaves, which have no padding.","src/collection.mts:2850"
"API","eles.paddedWidth","Implemented","The drawn box: core dims + 2 x padding (v3's paddedWidth).","src/collection.mts:2837"
"API","eles.padding","Implemented","v3-parity accessor: node padding. Leaves have no padding in v4 (no compound-free padding prop); parents answer the resolved auto-bounds padding (round 14.3).","src/collection.mts:2811"
"API","eles.pageRank","Implemented","PageRank over the (directed) subgraph. Async (round 65): returns a promise, and executor ('cpu' | 'gpu' | 'auto', default 'auto'; 'workers' rejects — no workers path) picks where the power method runs; 'cpu' is the reproducible reference.","src/collection.mts:5672"
"API","eles.panify","Implemented","Make dragging these elements pan the viewport instead of moving them. Pannable overrides grabbable, as in v3.","src/collection.mts:3855"
"API","eles.pannable","Implemented","Whether dragging the first element pans the graph instead of grabbing it.","src/collection.mts:3845"
"API","eles.parallelEdges","Implemented","The edges sharing endpoints with these edges, in either direction — including each edge itself. These are the edges a bezier bundle fans apart.","src/collection.mts:4972"
"API","eles.parent","Implemented","Immediate parents of every node in the collection (unique). v4 always returns a proper collection — v3's single-element raw-ref shortcut (which also ignored the selector argument) is not ported.","src/collection.mts:4437"
"API","eles.parents","Implemented","All ancestors, level by level: every nearest parent first, then the grandparents, and so on (v3's iterated-parent() order).","src/collection.mts:4469"
"API","eles.point","Implemented","Alias of eles.position. Get or set the first element's model-space position (nodes only).","src/collection.mts:1552"
"API","eles.points","Implemented","Alias of eles.positions. Set every node's position, from a constant or per-element function.","src/collection.mts:1622"
"API","eles.pon","Implemented","Alias of eles.promiseOn. Resolve once the next matching event fires on any element of this collection — the promise form of one().","src/collection.mts:6371"
"API","eles.position","Implemented","Get or set the first element's model-space position (nodes only).","src/collection.mts:1552"
"API","eles.positions","Implemented","Set every node's position, from a constant or per-element function.","src/collection.mts:1622"
"API","eles.predecessors","Implemented","Everything that reaches these nodes by following incoming edges, transitively.","src/collection.mts:4839"
"API","eles.promiseOn","Implemented","Resolve once the next matching event fires on any element of this collection — the promise form of one().","src/collection.mts:6371"
"API","eles.randomWalkWithRestart","Implemented","Random walk with restart — network propagation from a seeds collection: a walker follows edges with probability 1−c and restarts at the seeds with probability c, and the stationary distribution scores every node by proximity to the seeds. Async (round 70); the vector iteration is O(E) per step on the CPU, so there is no GPU path — an explicit executor: 'gpu' rejects and points at randomWalkWithRestartProximity. On directed graphs a node with no out-edges absorbs the walk (scores can sum below 1). v4-only — v3 has no counterpart.","src/collection.mts:5861"
"API","eles.randomWalkWithRestartProximity","Implemented","All-pairs random-walk-with-restart proximity — the full matrix S = c·(I − (1−c)·W)⁻¹, whose column s is the walk restarting at s. Async (round 70): executor ('cpu' | 'gpu' | 'workers' | 'auto', default 'auto') picks between one sparse solve per column on the CPU, the same solves over the worker pool (round 74, bit-identical to 'cpu') and the dense Neumann iteration on the GPU — under 'auto' the GPU from 256 nodes at any density (round 72.6 measured it ahead everywhere), else the pool from 128. All-pairs (O(n²) memory). v4-only — v3 has no counterpart.","src/collection.mts:5882"
"API","eles.reduce","Implemented","Fold the collection into a single value.","src/collection.mts:1468"
"API","eles.relativeComplement","Implemented","Alias of eles.difference. This collection's elements that are not in other.","src/collection.mts:1208"
"API","eles.relativePoint","Implemented","Alias of eles.relativePosition. Compound-relative position: the model position minus the immediate parent's (derived) position — the model position for orphans and compound-free graphs (round 14.3, v3 semantics).","src/collection.mts:2068"
"API","eles.relativePosition","Implemented","Compound-relative position: the model position minus the immediate parent's (derived) position — the model position for orphans and compound-free graphs (round 14.3, v3 semantics).","src/collection.mts:2068"
"API","eles.remove","Implemented","Remove these elements from the graph; incident edges of removed nodes cascade. Already-removed elements are skipped (no second remove event).","src/collection.mts:3932"
"API","eles.removeAllListeners","Replaced","Use eles.off(events) to remove listeners for the named events; the v3 removeAllListeners alias is not exposed on collections.","MIGRATING.md"
"API","eles.removeAttr","Implemented","Alias of eles.removeData. Remove sidecar data keys.","src/collection.mts:2448"
"API","eles.removeClass","Replaced","Classes were removed. Store category/state in element data and use query objects and conditional style mappers.","MIGRATING.md"
"API","eles.removeCss","Implemented","Alias of eles.removeStyle. Remove per-element style bypasses from every element (round 63.4 — v3's removeStyle). The sheet-resolved values return through the normal apply, transitions included.","src/collection.mts:2639"
"API","eles.removed","Implemented","Whether the first element has been removed from the graph. A removed element's handle stays usable — reads are no-ops or undefined, and the cached id()/group() remain readable.","src/collection.mts:1024"
"API","eles.removeData","Implemented","Remove sidecar data keys.","src/collection.mts:2448"
"API","eles.removeListener","Implemented","Alias of eles.off. Stop listening on each element of this collection.","src/collection.mts:6330"
"API","eles.removeScratch","Implemented","Delete scratchpad keys from every element.","src/collection.mts:2529"
"API","eles.removeStyle","Implemented","Remove per-element style bypasses from every element (round 63.4 — v3's removeStyle). The sheet-resolved values return through the normal apply, transitions included.","src/collection.mts:2639"
"API","eles.renderedBoundingbox","Implemented","Alias of eles.renderedBoundingBox. boundingBox() transformed into rendered (on-screen) coordinates.","src/collection.mts:3196"
"API","eles.renderedBoundingBox","Implemented","boundingBox() transformed into rendered (on-screen) coordinates.","src/collection.mts:3196"
"API","eles.renderedControlPoints","Implemented","controlPoints() in rendered (CSS px) space.","src/collection.mts:3450"
"API","eles.renderedCss","Implemented","Alias of eles.renderedStyle. Like style(), but with length props (width, height, border-width, font-size) scaled into rendered (on-screen) px by the zoom.","src/collection.mts:2666"
"API","eles.renderedHeight","Implemented","height() scaled by the current zoom.","src/collection.mts:3231"
"API","eles.renderedMidpoint","Implemented","midpoint() in rendered (CSS px) space.","src/collection.mts:3327"
"API","eles.renderedOuterHeight","Implemented","outerHeight() scaled by the current zoom.","src/collection.mts:3251"
"API","eles.renderedOuterWidth","Implemented","outerWidth() scaled by the current zoom.","src/collection.mts:3241"
"API","eles.renderedPoint","Implemented","Alias of eles.renderedPosition. Get or set the first element's position in rendered (CSS px) space — position() put through the current pan and zoom. Writing unprojects back to model space, so the element lands under the given screen point at the current viewport.","src/collection.mts:2147"
"API","eles.renderedPosition","Implemented","Get or set the first element's position in rendered (CSS px) space — position() put through the current pan and zoom. Writing unprojects back to model space, so the element lands under the given screen point at the current viewport.","src/collection.mts:2147"
"API","eles.renderedSegmentPoints","Implemented","segmentPoints() in rendered (CSS px) space.","src/collection.mts:3490"
"API","eles.renderedSourceEndpoint","Implemented","sourceEndpoint() in rendered (CSS px) space.","src/collection.mts:3372"
"API","eles.renderedStyle","Implemented","Like style(), but with length props (width, height, border-width, font-size) scaled into rendered (on-screen) px by the zoom.","src/collection.mts:2666"
"API","eles.renderedTargetEndpoint","Implemented","targetEndpoint() in rendered (CSS px) space.","src/collection.mts:3381"
"API","eles.renderedWidth","Implemented","width() scaled by the current zoom — the on-screen width in CSS px.","src/collection.mts:3222"
"API","eles.restore","Excluded","Removed elements cannot be restored or cloned through this API. Export definitions before removal and add definitions explicitly when needed.","MIGRATING.md"
"API","eles.roots","Implemented","Collection nodes with no non-loop incoming edge (whole-graph incidence, as in v3).","src/collection.mts:4764"
"API","eles.same","Implemented","Whether both collections hold exactly the same elements, ignoring order.","src/collection.mts:1054"
"API","eles.scratch","Implemented","Per-element scratchpad (plain JS, not a column): scratch() reads the first element's whole object, scratch(ns) one namespace, scratch(ns, val) / scratch(obj) write to every element.","src/collection.mts:2492"
"API","eles.segmentPoints","Implemented","The edge's segment points (model coords) — v3's getSegmentPoints: defined for segments and taxi edges (taxi derives its points), undefined otherwise.","src/collection.mts:3468"
"API","eles.select","Implemented","Select every selectable element, emitting select for each one that changed. Unselectable elements are skipped.","src/collection.mts:3602"
"API","eles.selectable","Implemented","Whether the first element may be selected by the user. The graph-wide cy.autounselectify() overrides this for user gestures.","src/collection.mts:3586"
"API","eles.selected","Implemented","Whether the first element is selected.","src/collection.mts:3570"
"API","eles.selectify","Implemented","Make these elements selectable.","src/collection.mts:3623"
"API","eles.shift","Implemented","Offset positions by a vector or along one axis.","src/collection.mts:1950"
"API","eles.show","Implemented","Show these elements — the display tier, v3's structural display: element. Shown elements take up space again, rejoin bounds and fit, and re-fan their bezier bundles.","src/collection.mts:3724"
"API","eles.siblings","Implemented","Nodes sharing a parent with the collection's nodes, excluding them; orphans are nobody's siblings (v3).","src/collection.mts:4592"
"API","eles.silentPosition","Excluded","Internal-only write, omitted from the typed public surface. Use position().","MIGRATING.md"
"API","eles.silentPositions","Excluded","Internal-only write, omitted from the typed public surface. Use positions().","MIGRATING.md"
"API","eles.silentShift","Excluded","Internal-only write, omitted from the typed public surface. Use shift().","MIGRATING.md"
"API","eles.simRank","Implemented","SimRank — ""two nodes are similar when their neighbors are similar"", the Jeh–Widom recursive fixed point, iterated as dense products S′ = C·Q·S·Qᵀ. Async (round 70): returns a promise, and executor ('cpu' | 'gpu' | 'auto', default 'auto'; 'workers' rejects — no workers path) picks where the iteration runs — under 'auto' the GPU from 256 nodes at any density (round 72.6 measured it ahead everywhere). The undirected default compares all neighbors; directed: true compares the classic in-neighborhoods. All-pairs (O(n²) memory). v4-only — v3 has no counterpart.","src/collection.mts:5840"
"API","eles.size","Implemented","The number of elements — the method form of length.","src/collection.mts:636"
"API","eles.slice","Implemented","A sub-range of the collection, with Array#slice semantics (negative indices count from the end).","src/collection.mts:739"
"API","eles.some","Implemented","Whether any element satisfies the predicate. Short-circuits.","src/collection.mts:849"
"API","eles.sort","Implemented","A copy sorted by a comparator. Note that sort order is a property of the collection, not of drawing: v4 draw order is structural and there is no z-index.","src/collection.mts:768"
"API","eles.sortByZIndex","Excluded","Z-index was removed; draw order is structural.","MIGRATING.md"
"API","eles.source","Implemented","The source node of the first edge.","src/collection.mts:4131"
"API","eles.sourceEndpoint","Implemented","The edge's source-side endpoint in model space, resolved through the route evaluator — so it accounts for curve family, node boundary clipping, haystack offsets and any manual source-endpoint.","src/collection.mts:3345"
"API","eles.sources","Implemented","The source nodes of every edge in the collection, deduped.","src/collection.mts:4149"
"API","eles.stop","Implemented","Stop every running animation on these elements (round 21: no queue — the v3 clearQueue argument is gone).","src/collection.mts:1773"
"API","eles.style","Implemented","Read resolved properties or set constant id-keyed bypasses. Bypasses export with the stylesheet and are replaced on a full sheet swap; mappers belong in the sheet.","src/collection.mts:2557"
"API","eles.subtract","Implemented","Alias of eles.difference. This collection's elements that are not in other.","src/collection.mts:1208"
"API","eles.successors","Implemented","Everything reachable by following outgoing edges, transitively — the edges and nodes of the forward closure, excluding these nodes themselves (unless a cycle reaches them).","src/collection.mts:4827"
"API","eles.symdiff","Implemented","Alias of eles.symmetricDifference. The elements in exactly one of the two collections.","src/collection.mts:1248"
"API","eles.symmetricDifference","Implemented","The elements in exactly one of the two collections.","src/collection.mts:1248"
"API","eles.takesUpSpace","Implemented","The space tier (round 22): shown elements occupy space — they join bb/fit and size their compound parents — even when visibility: 'hidden' keeps them from rendering. display-tier hide() clears it.","src/collection.mts:2767"
"API","eles.target","Implemented","The target node of the first edge.","src/collection.mts:4140"
"API","eles.targetEndpoint","Implemented","The edge's target-side endpoint in model space, resolved through the route evaluator — so it accounts for curve family, node boundary clipping, haystack offsets and any manual target-endpoint.","src/collection.mts:3363"
"API","eles.targets","Implemented","The target nodes of every edge in the collection, deduped.","src/collection.mts:4158"
"API","eles.tarjanStronglyConnected","Implemented","Tarjan's strongly connected components. Implemented iteratively, so deep graphs cannot overflow the JS stack.","src/collection.mts:5620"
"API","eles.tarjanStronglyConnectedComponents","Implemented","Alias of eles.tarjanStronglyConnected. Tarjan's strongly connected components. Implemented iteratively, so deep graphs cannot overflow the JS stack.","src/collection.mts:5620"
"API","eles.toArray","Implemented","The elements as a plain array of length-1 collections.","src/collection.mts:725"
"API","eles.toggleClass","Replaced","Classes were removed. Store category/state in element data and use query objects and conditional style mappers.","MIGRATING.md"
"API","eles.totalDegree","Implemented","The summed degree of every node in the collection — the whole-collection figure that degree() deliberately is not.","src/collection.mts:6200"
"API","eles.transparent","Implemented","Whether the first element is fully transparent — its effective opacity, with compound ancestors folded in, is exactly 0.","src/collection.mts:2754"
"API","eles.triangleCount","Implemented","Triangle counting: per-node triangle counts, local clustering coefficients, and the collection's transitivity, read over the simple undirected graph (direction ignored, parallel edges collapsed, loops excluded). Async (round 69): returns a promise, and executor ('cpu' | 'gpu' | 'auto', default 'auto'; 'workers' rejects — no workers path) picks where the counting runs — under 'auto' the GPU's A²∘A matmul is used only on graphs dense enough to beat the CPU's sparse walk. v4-only — v3 has no counterpart.","src/collection.mts:5797"
"API","eles.trigger","Implemented","Alias of eles.emit. Emit an event on each element, bubbling through compound ancestors to the core.","src/collection.mts:6349"
"API","eles.tsc","Implemented","Alias of eles.tarjanStronglyConnected. Tarjan's strongly connected components. Implemented iteratively, so deep graphs cannot overflow the JS stack.","src/collection.mts:5620"
"API","eles.tscc","Implemented","Alias of eles.tarjanStronglyConnected. Tarjan's strongly connected components. Implemented iteratively, so deep graphs cannot overflow the JS stack.","src/collection.mts:5620"
"API","eles.u","Implemented","Alias of eles.union. The union of the two collections, deduped.","src/collection.mts:1191"
"API","eles.unbind","Replaced","Use eles.off(); legacy listener aliases were removed.","MIGRATING.md"
"API","eles.ungrabify","Implemented","Make these elements ungrabbable — the user can no longer drag them, while programmatic position writes still apply.","src/collection.mts:3675"
"API","eles.union","Implemented","The union of the two collections, deduped.","src/collection.mts:1191"
"API","eles.unlisten","Replaced","Use eles.off(); legacy listener aliases were removed.","MIGRATING.md"
"API","eles.unlock","Implemented","Unlock these elements.","src/collection.mts:3785"
"API","eles.unmerge","Implemented","Alias of eles.difference. This collection's elements that are not in other.","src/collection.mts:1208"
"API","eles.unpanify","Implemented","Stop these elements from panning the viewport when dragged, so a grabbable one becomes draggable again.","src/collection.mts:3865"
"API","eles.unselect","Implemented","Deselect every element, emitting unselect for each one that changed.","src/collection.mts:3612"
"API","eles.unselectify","Implemented","Make these elements unselectable. Does not deselect them; call unselect() for that.","src/collection.mts:3633"
"API","eles.visible","Implemented","Whether the first element renders (round 22: the derived FLAG_DRAWN — shown AND not visibility: 'hidden' on self or, for nodes, any ancestor; edges additionally fold their endpoints, v3's rule). The renderer's cull pass and CPU picking mask on the same bit, so an element that is not visible() neither draws nor picks. For space-tier state (in the bb, sizing its compound parent) see takesUpSpace() — an invisible element keeps its space.","src/collection.mts:3694"
"API","eles.width","Implemented","The first element's width — a node's model-space width, or an edge's stroke width.","src/collection.mts:2201"
"API","eles.xor","Implemented","Alias of eles.symmetricDifference. The elements in exactly one of the two collections.","src/collection.mts:1248"
"API","eles.zDepth","Excluded","Z-depth ordering is not part of the v4 public surface.","MIGRATING.md"
"API","eles['-']","Replaced","Use eles.difference(). Symbolic set-operation aliases are not exposed in v4.","MIGRATING.md"
"API","eles['!']","Replaced","Use eles.difference(). Symbolic set-operation aliases are not exposed in v4.","MIGRATING.md"
"API","eles['.']","Replaced","Use eles.intersection(). Symbolic set-operation aliases are not exposed in v4.","MIGRATING.md"
"API","eles['(-)']","Replaced","Use eles.symmetricDifference(). Symbolic set-operation aliases are not exposed in v4.","MIGRATING.md"
"API","eles['(+)']","Replaced","Use eles.symmetricDifference(). Symbolic set-operation aliases are not exposed in v4.","MIGRATING.md"
"API","eles['\\']","Replaced","Use eles.difference(). Symbolic set-operation aliases are not exposed in v4.","MIGRATING.md"
"API","eles['&']","Replaced","Use eles.intersection(). Symbolic set-operation aliases are not exposed in v4.","MIGRATING.md"
"API","eles['^']","Replaced","Use eles.symmetricDifference(). Symbolic set-operation aliases are not exposed in v4.","MIGRATING.md"
"API","eles['+']","Replaced","Use eles.union(). Symbolic set-operation aliases are not exposed in v4.","MIGRATING.md"
"API","eles['|']","Replaced","Use eles.union(). Symbolic set-operation aliases are not exposed in v4.","MIGRATING.md"
"API","eles['n']","Replaced","Use eles.intersection(). Symbolic set-operation aliases are not exposed in v4.","MIGRATING.md"
"API","eles['u']","Replaced","Use eles.union(). Symbolic set-operation aliases are not exposed in v4.","MIGRATING.md"
"API","event.cancelled","Implemented","on layoutstop: true when the run was abandoned by layout.cancel() or cy.destroy() rather than finished or stopped (round 128); absent otherwise","src/event.mts"
"API","event.cy","Implemented","the core the event was raised on","src/event.mts:83"
"API","event.isDefaultPrevented","Implemented","Whether preventDefault() has been called.","src/event.mts:103"
"API","event.isPropagationStopped","Implemented","Whether stopPropagation() has been called — read by the compound bubbling walk (round 14.5), where it halts the phase sequence.","src/event.mts:106"
"API","event.layout","Implemented","the layout instance, on the layout lifecycle events","src/event.mts:91"
"API","event.originalEvent","Implemented","the DOM event behind a gesture, when there was one (round 41.4)","src/event.mts:89"
"API","event.position","Implemented","model-space position, on pointer-derived events","src/event.mts:85"
"API","event.preventDefault","Partial","Forwards to the original browser event. Does not cancel v4 gesture defaults; use the explicit interaction toggles.","src/event.mts:168"
"API","event.renderedPosition","Implemented","rendered-space position; derived from position and the viewport","src/event.mts:87"
"API","event.stopPropagation","Implemented","Stop the event bubbling to further phases: the remaining ancestors and the core do not see it (round 14.5). Returning false from a handler does the same. With originalEvent attached (round 41.4) this also calls the DOM event's stopPropagation(), so an outer DOM listener stops seeing it too.","src/event.mts:180"
"API","event.target","Implemented","the core for core-level events, the element for element events","src/event.mts:81"
"API","event.timeStamp","Implemented","when the event was built, Date.now() unless the caller supplied one","src/event.mts:93"
"API","event.type","Implemented","the event type, e.g. 'tap' — never namespaced (round 41.1)","src/event.mts:79"
"API","layout.addListener","Replaced","Layout handles expose run(), stop(), cancel(), promise() and reheat(). Observe layoutready/layoutstop on cy; custom layouts signal through their context.","MIGRATING.md"
"API","layout.bind","Replaced","Listen for layoutready/layoutstop on cy or await layout.promise(); layout handles do not expose an event emitter.","MIGRATING.md"
"API","layout.cancel","Implemented","Abandon the run in flight (round 128) — the alternative to stop(), which keeps what stands. The impl is asked to cancel() (or stop() when it has no cancel), and once its run settles the scope's nodes go back to where run() found them, a tween under way is dropped where it is, the viewport is left alone, layoutstop fires with cancelled: true, and promise() rejects with CancelledError. The eight built-ins have cancel() too (only their animate: true tween is ever in flight). A layout that is not running is unchanged.","src/layout/contract.mts"
"API","layout.emit","Replaced","Layout handles expose run(), stop(), cancel(), promise() and reheat(). Observe layoutready/layoutstop on cy; custom layouts signal through their context.","MIGRATING.md"
"API","layout.listen","Replaced","Listen for layoutready/layoutstop on cy or await layout.promise(); layout handles do not expose an event emitter.","MIGRATING.md"
"API","layout.off","Replaced","Layout handles expose run(), stop(), cancel(), promise() and reheat(). Observe layoutready/layoutstop on cy; custom layouts signal through their context.","MIGRATING.md"
"API","layout.on","Replaced","Layout handles expose run(), stop(), cancel(), promise() and reheat(). Observe layoutready/layoutstop on cy; custom layouts signal through their context.","MIGRATING.md"
"API","layout.one","Replaced","Layout handles expose run(), stop(), cancel(), promise() and reheat(). Observe layoutready/layoutstop on cy; custom layouts signal through their context.","MIGRATING.md"
"API","layout.options","Implemented","the resolved options this run was created with","src/layout/contract.mts:548"
"API","layout.pon","Replaced","Layout handles expose run(), stop(), cancel(), promise() and reheat(). Observe layoutready/layoutstop on cy; custom layouts signal through their context.","MIGRATING.md"
"API","layout.promise","Implemented","Resolves at this run's layoutstop (immediately when never run); rejects with CancelledError when the run was cancelled (round 128) — by cancel() or by cy.destroy(). A caller who never awaits it sees no unhandled rejection.","src/layout/contract.mts"
"API","layout.promiseOn","Replaced","Layout handles expose run(), stop(), cancel(), promise() and reheat(). Observe layoutready/layoutstop on cy; custom layouts signal through their context.","MIGRATING.md"
"API","layout.reheat","Implemented","Heat a running layout back up (118.3), by calling the impl's optional reheat(). A force layout's infinite run ticks only while its field is moving and reheats itself on a drag, a moved node and an added or removed element; this is for a change it cannot see — an edge length that changed under a data mapping, a style that resized the boxes. An impl without one ignores it.","src/layout/contract.mts:660"
